,YEAR,SEX,STATE,COUNTY,GEOID,RACE,AGE,SSP1,SSP2,SSP3,SSP4,SSP5
2846573,2050,1,37,45,37045,2,18,65.1840544943157,49.1046873470324,35.82491604851467,49.10408322306349,65.49056817375971
2846574,2050,1,37,45,37045,3,1,387.03677647557936,399.2272953127237,267.43102176130697,314.22484562154864,566.0781293241589
2846575,2050,1,37,45,37045,3,2,386.6312852394023,397.032983799565,281.70161767582823,325.8913793782695,535.1579639257367
2846576,2050,1,37,45,37045,3,3,353.88314967614195,362.7773691632038,267.9622836095755,306.9687172680264,468.9014816243644
2846577,2050,1,37,45,37045,3,4,309.44687065920795,318.09884890544083,240.15573788814208,273.65034652847044,399.39886637574233
2846578,2050,1,37,45,37045,3,5,264.2060135224653,272.13178528068346,208.2906435801368,235.66575218184997,335.1971392098416
2846579,2050,1,37,45,37045,3,6,218.36336635169656,223.20794255833573,179.68833188003154,203.07104682289352,267.8313467639753
2846580,2050,1,37,45,37045,3,7,202.6179324043182,205.4292393244772,172.6487911795953,193.411717111436,240.96639794862182
2846581,2050,1,37,45,37045,3,8,203.85135518135115,204.4113710657372,177.94969202933362,197.47547923502307,234.47806832696992
2846582,2050,1,37,45,37045,3,9,192.12495991453133,190.59146899257638,172.57070181241986,190.256768297685,208.43921785243526
2846583,2050,1,37,45,37045,3,10,137.90233948042075,136.40807104068594,122.64150834423599,136.12327737207298,150.0535680979214
2846584,2050,1,37,45,37045,3,11,78.8776336568082,77.68874406104825,68.93189294388525,77.47337171348535,86.35341530771456
2846585,2050,1,37,45,37045,3,12,76.00013780600645,74.3631516446093,66.5811949361387,74.13161705582102,82.02720678286515
2846586,2050,1,37,45,37045,3,13,76.60186883621306,74.24965021565217,66.73643564086026,74.0544506850732,81.59194312353581
2846587,2050,1,37,45,37045,3,14,90.9908406767582,86.94894809718126,78.49103135537969,86.79537523683395,95.0875272924947
2846588,2050,1,37,45,37045,3,15,118.03694856469559,110.88899172237078,98.88966251051001,110.93907086824206,122.08571368216657
2846589,2050,1,37,45,37045,3,16,144.2528779678327,131.32942838015057,114.25207313192304,131.35187614232606,147.42392492384866
2846590,2050,1,37,45,37045,3,17,69.32295678527403,60.15246418169997,49.95845495418992,60.15800036693846,70.2654266580873
2846591,2050,1,37,45,37045,3,18,142.35672357044857,107.24068112830237,78.23873047506827,107.23936177022448,143.02612475258854
2846592,2050,1,37,45,37045,4,1,96.37140579119736,99.40682130999572,66.58980511878981,78.24137639535479,140.95235498651007
2846593,2050,1,37,45,37045,4,2,100.29933669937908,102.99773050753971,73.07863196464419,84.54227693303845,138.8299158923609
2846594,2050,1,37,45,37045,4,3,91.908300185819,94.21825078754595,69.59347463422556,79.72397962475698,121.78013609901134
2846595,2050,1,37,45,37045,4,4,78.72720389529837,80.92837676234926,61.09866195469637,69.62011469455746,101.61213109614124
2846596,2050,1,37,45,37045,4,5,71.83913865835484,73.99420170450573,56.63542712709332,64.07887701836073,91.14203511318695
2846597,2050,1,37,45,37045,4,6,61.91466622857672,63.288295532174594,50.948761595859324,57.57868773866079,75.9407986673626
2846598,2050,1,37,45,37045,4,7,67.84813453126237,68.78952174148716,57.81274278941049,64.76536428332193,80.68940587601894
2846599,2050,1,37,45,37045,4,8,58.3878579588351,58.548259776537655,50.96900794593145,56.561656024655285,67.16007424016185
2846600,2050,1,37,45,37045,4,9,54.39437285663417,53.960211272328884,48.8581759636626,53.86545089136956,59.01326167539265
2846601,2050,1,37,45,37045,4,10,59.85991215559106,59.21128807947743,53.235571954582156,59.08766636247195,65.1344526772866
2846602,2050,1,37,45,37045,4,11,64.03249227095866,63.067357285003716,55.95858670604153,62.89251902552062,70.10129667834997
2846603,2050,1,37,45,37045,4,12,39.48845540687671,38.637903593391755,34.59452341893632,38.5176019262046,42.62002399869109
2846604,2050,1,37,45,37045,4,13,57.4830784847344,55.71794181596643,50.0799239759729,55.57146144796855,61.227697725240795
2846605,2050,1,37,45,37045,4,14,72.5909553520314,69.36640174202483,62.618818666532434,69.243883908737,75.859222718311
2846606,2050,1,37,45,37045,4,15,32.23273373069486,30.280817890623197,27.004122007377205,30.29449316598365,33.338343199225314
2846607,2050,1,37,45,37045,4,16,26.893112877833165,24.48378979583529,21.30005267519461,24.487974739737588,27.48429223543366
2846608,2050,1,37,45,37045,4,17,35.296469864377215,30.627222751531843,25.43684201502486,30.630041555063826,35.776337732201696
2846609,2050,1,37,45,37045,4,18,78.54566397719245,59.17030325877384,43.16840736261878,59.16957529978707,78.91500768642919
2846610,2050,1,37,47,37047,1,1,417.6577614924996,430.81275119481575,288.58922120938814,339.085207412849,610.8642348572982
2846611,2050,1,37,47,37047,1,2,475.38678047563303,488.17630418665885,346.36934514693496,400.70335625185976,658.0094038665854
2846612,2050,1,37,47,37047,1,3,522.1967599939509,535.3212407810953,395.4102828279823,452.96892413091757,691.9200156455316
2846613,2050,1,37,47,37047,1,4,479.66501862972603,493.07621034034986,372.258753959138,424.1778185896284,619.0971143857366
2846614,2050,1,37,47,37047,1,5,543.2689013295438,559.5661280953904,428.29391953027124,484.5834981645785,689.2431368972333
2846615,2050,1,37,47,37047,1,6,684.1655904851842,699.3443835054726,562.9908337555011,636.2524308965893,839.1562860140604
2846616,2050,1,37,47,37047,1,7,703.9450836820678,713.7122630313182,599.8248344179526,671.9604023765103,837.1771893813577
2846617,2050,1,37,47,37047,1,8,692.0458164903937,693.9469892817776,604.1134227687505,670.4006414009631,796.0190703665877
2846618,2050,1,37,47,37047,1,9,810.7316767577407,804.2606296485968,728.2163363983675,802.8482548290941,879.5748176954879
2846619,2050,1,37,47,37047,1,10,863.1197994788945,853.7672918932299,767.603468430608,851.9847909213664,939.1733751272501
2846620,2050,1,37,47,37047,1,11,869.752625501039,856.6432077940863,760.0848566217849,854.2683816733105,952.1851278101022
2846621,2050,1,37,47,37047,1,12,809.1266993767641,791.6987150607667,708.8490107314142,789.233708772278,873.2931939245718
2846622,2050,1,37,47,37047,1,13,739.9086814069029,717.1882569007952,644.6170158381569,715.3027960174484,788.10854052457
2846623,2050,1,37,47,37047,1,14,712.6426613768222,680.9864522080168,614.7438254584357,679.7836655198275,744.7280188804043
2846624,2050,1,37,47,37047,1,15,678.0700446904477,637.0081952063938,568.0773579229959,637.2958777421752,701.3284089359448
2846625,2050,1,37,47,37047,1,16,662.4803078982492,603.1294583168335,524.7018267692926,603.2325495036932,677.043318310074
2846626,2050,1,37,47,37047,1,17,441.4617951689312,383.0623512459449,318.14495847684134,383.0976067282138,447.4636228640992
2846627,2050,1,37,47,37047,1,18,325.29828965092014,245.05488239038246,178.78274077728432,245.05186753505703,326.82793331072713
2846628,2050,1,37,47,37047,2,1,262.9467444544915,271.2287926635213,181.68846169767255,213.4794551962033,384.5846448188058
2846629,2050,1,37,47,37047,2,2,281.2101358423783,288.7756463863158,204.89120564722518,237.0319282571177,389.23866091049086
2846630,2050,1,37,47,37047,2,3,318.40314948003925,326.4056426743009,241.09663068511009,276.19231506059106,421.8898488998043
