"","id","Latitude","Longitude"
"X.65",65,34.8515176322202,-79.972384313425
"X.66",66,35.1159127311895,-80.2400852108683
"X.67",67,35.1006701817016,-80.1095344167041
"X.68",68,34.8557732893432,-80.1053973053756
"X.69",69,34.9908609782683,-80.1996053699792
"X.70",70,36.4092561472662,-81.3119788355725
"X.71",71,36.4140874540559,-81.6849131081216
"X.72",72,36.3945041142237,-81.6108761207621
"X.73",73,36.4793663226343,-81.6586046206022
"X.74",74,36.4696609125251,-81.5677043442713
"X.75",75,36.5033695688566,-81.393713198378
"X.76",76,36.5155542673608,-81.5121513340026
"X.77",77,36.5287915623278,-81.5920848649951
"X.78",78,36.5521547045185,-81.4755551987322
"X.79",79,36.5362211786783,-81.6692942732982
"X.80",80,36.5709959051432,-81.5917045941771
"X.81",81,36.3169641657188,-81.5803311285849
"X.82",82,36.2969427016663,-81.4785047528122
"X.83",83,36.3315159047309,-81.3943186237844
"X.84",84,36.3485439612829,-81.5313691394719
"X.85",85,36.4042397104741,-81.5056815311336
"X.86",86,36.4162178429802,-81.423276823781
"X.87",87,36.1085619157581,-82.0033553604289
"X.88",88,36.0003486363751,-81.9405666874372
"X.89",89,36.2354577685503,-81.9297849402635
"X.90",90,36.1609503989187,-81.877551275313
"X.91",91,36.1350601711351,-81.9602320968739
"X.92",92,36.0583847359426,-81.9679847653711
"X.93",93,36.0205239448904,-81.9692110933502
"X.94",94,36.0830130882492,-82.0455562798274
"X.95",95,35.9604953822508,-82.0019767743299
"X.96",96,36.0341473719318,-81.809817800473
"X.97",97,36.0241500700395,-82.0190281039333
"X.98",98,36.1721732053812,-81.9789999245187
"X.99",99,36.1668643315409,-81.9379900498263
"X.100",100,36.1088204211013,-81.9375412577818
"X.101",101,36.0900209789307,-81.8979152984361
"X.102",102,36.0242665837641,-81.8903385854378
"X.103",103,36.0761400308156,-81.9466746498233
"X.104",104,36.0740919930394,-82.0068246577442
"X.105",105,36.0886948789947,-81.8515897910961
"X.106",106,35.501009412076,-76.9839069558643
